Category,Count
Bar,218
Speakeasy,125
Lounge,96
Strip Club,81
Nightclub,80
Dive Bar,79
Gay Bar,78
Wine Bar,76
Cocktail Bar,75
Other Nightlife,60
Pub,39
Beer Garden,33
Sports Bar,31
Brewery,31
Karaoke Bar,29
Nightlife Spot,26
Whisky Bar,24
Home (private),23
Hookah Bar,21
American Restaurant,15
Pizza Place,12
Italian Restaurant,11
Seafood Restaurant,10
Sushi Restaurant,9
Gastropub,9
Hotel Bar,8
Coffee Shop,7
New American Restaurant,7
Music Venue,6
Mexican Restaurant,5
